FID	AI	BIO_1	BIO_12	BIO_15	BIO_4	NPP	PET	Y	X	Dist_km
0	2335	275	593	145	1698	1.367E+11	2139	1650	-4250	169.9036668
1	2031	266	472	149	1799	1.164E+11	2039	1750	-4250	69.91822375
2	1158	275	259	147	2512	84720000000	1898	1850	-4250	30.06721931
3	283	261	53	124	3232	25780000000	1786	2250	-4250	430.0089916
4	194	253	40	103	3197	12860000000	1701	2350	-4250	529.9944346
5	194	231	33	69	2910	14460000000	1562	2450	-4250	629.9798777
6	259	219	36	64	2718	15700000000	1405	2550	-4250	729.9653208
7	6081	269	1395	126	1815	4.619E+11	1876	1450	-4150	219.9663974
8	3522	275	725	132	2028	3.038E+11	2058	1550	-4150	166.2518779
9	2504	276	616	134	2067	1.519E+11	2129	1650	-4150	97.85968259
10	1996	281	478	139	2198	1.163E+11	2158	1750	-4150	71.58806614
11	1254	278	275	144	3050	77830000000	2130	1850	-4150	28.36100275
12	991	283	202	149	3214	54060000000	2144	1950	-4150	128.3464458
13	626	281	146	147	3258	34080000000	2058	2050	-4150	228.3318889
14	406	280	82	140	3611	30540000000	2015	2150	-4150	328.3173319
15	341	276	64	127	3798	20140000000	1998	2250	-4150	428.302775
16	254	266	51	108	3787	14140000000	1895	2350	-4150	528.2882181
17	243	242	40	66	3482	13560000000	1742	2450	-4150	628.2736611
18	256	230	40	65	3293	13420000000	1572	2550	-4150	728.2591042
19	259	213	41	76	2909	19860000000	1499	2650	-4150	828.2445473
20	11898	273	2481	117	1472	4.699E+11	2037	1250	-4050	248.7894292
21	7988	265	1903	118	1641	4.453E+11	1941	1350	-4050	260.1241157
22	6130	267	1421	122	2154	4.746E+11	1937	1450	-4050	164.0701877
23	3846	275	759	129	2337	3.053E+11	2015	1550	-4050	78.57160695
24	3708	279	669	132	2255	1.534E+11	2064	1650	-4050	55.00097871
25	2266	284	539	138	2409	1.456E+11	2139	1750	-4050	28.29542801
26	1155	289	266	146	3188	71600000000	2150	1850	-4050	41.88190055
27	968	290	213	147	3451	48510000000	2149	1950	-4050	131.1278522
28	660	290	159	147	3570	34350000000	2140	2050	-4050	229.4230451
29	459	289	93	140	4047	26080000000	2129	2150	-4050	328.7481614
30	388	286	75	134	4313	20980000000	2125	2250	-4050	428.3874107
31	301	280	69	125	4746	25720000000	2051	2350	-4050	528.163037
32	239	262	47	100	4665	23860000000	1922	2450	-4050	628.0100427
33	244	253	46	82	4571	22930000000	1792	2550	-4050	727.8990546
34	251	232	43	71	4207	25290000000	1724	2650	-4050	827.8148668
35	248	224	41	66	4023	23140000000	1601	2750	-4050	927.7488204
36	14947	272	2693	102	1583	6.313E+11	1655	1150	-3950	135.7086366
37	11511	249	2055	101	1633	6.832E+11	1898	1250	-3950	235.6460213
38	9349	256	1763	107	1892	5.497E+11	1800	1350	-3950	254.8278303
39	5899	273	1375	116	2197	4.508E+11	1965	1450	-3950	154.8674276
40	3868	284	785	127	2387	3.274E+11	2017	1550	-3950	54.90702495
41	3292	282	739	130	2423	1.793E+11	2044	1650	-3950	44.87952243
42	1942	285	574	136	2591	1.396E+11	2116	1750	-3950	63.25404873
43	1128	297	252	150	3346	58570000000	2165	1850	-3950	134.6224517
