scat.rich.m	scat.vol.m	scat.het.m	env.rich.m	env.vol.m	env.het.m	sd.rich.m	sd.vol.m	sd.het.m	rp.rich.m	rp.vol.m	rp.het.m	full.rich.m	full.vol.m	full.het.m	obs.rich	obs.vol	obs.het
85.2	696.45178059	0.4240327325	92.4	794.96407355	0.3856212221	48	623.3713146	0.0418894839	33.9	562.17614231	0.0523062548	30.8	696.34894448	0.2017948386	77	785.948051948052	0.277507344255466
91.6	695.30475168	0.4256374953	87.1	807.50101832	0.3933830632	48.8	619.55233549	0.0439554967	33	582.30629855	0.0531839976	29.2	720.82909456	0.2254342607	61	837.606557377049	0.32593483642059
92.6	678.09031368	0.4250000909	75.5	773.39930693	0.4439309908	49.1	607.09793947	0.0440123005	31.3	590.1994355	0.0473835505	28.3	743.17639421	0.2746866571	61	789.459016393443	0.356723517296434
84.1	710.34534308	0.427046293	61.7	766.51267129	0.4656578176	47.1	613.46136914	0.0431526689	23.8	710.31986603	0.0474574771	18	648.85880377	0.3256678813	23	712.478260869565	0.349339270183196
89.3	683.64847743	0.4258494393	62	722.50351129	0.4694558606	47.7	608.42267189	0.0422236072	23.7	707.38736652	0.0485869485	15.7	665.99100899	0.3214649734	20	731.9	0.29849987155398
86.5	676.43328483	0.4243656947	80.7	620.30050357	0.4293116598	46.2	609.0355104	0.0440807286	21.9	733.57053347	0.0469505361	13.6	645.10227106	0.2875517813	23	641.782608695652	0.272671941420429
85.8	688.35728803	0.4265212685	106.2	555.47288566	0.4069509692	42.9	638.93242365	0.0466037345	19.8	782.21384938	0.051581171	12.3	638.06670177	0.2909523624	22	702.954545454545	0.278328446215422
88.6	699.99730587	0.4263563561	125.7	647.53288017	0.334500894	49.5	638.41347033	0.0595597025	38.7	539.58978201	0.0519196773	47.3	529.31965266	0.1436097239	118	714.449152542373	0.321178124763921
92	688.5180126	0.4260038935	75.2	871.64530249	0.3576775919	51.7	611.34648042	0.0577112361	39.6	531.1550539	0.0583826983	37.7	633.95948218	0.181932481	112	724.285714285714	0.313817357903893
90.4	663.76283696	0.4238604648	80.3	821.29306683	0.3725608404	53.6	597.83395051	0.0490617816	38.7	530.61481803	0.0613981343	35.5	650.73612865	0.2038473851	79	794.506329113924	0.271892242848132
91.5	664.13990065	0.4227511221	69.6	843.02458628	0.4019310416	55	590.57667313	0.0561102389	37.5	544.61040371	0.0602167779	33.4	654.89697682	0.2093770624	61	833.622950819672	0.340909100015691
86.4	676.92842029	0.4251268159	57.3	893.94274487	0.4418702591	55.9	582.91023977	0.0572195402	35.5	562.58546177	0.0526075784	29.6	721.38290476	0.2729295961	62	772.693548387097	0.343939908246252
91.5	675.10058637	0.4226390723	51.2	849.52937592	0.4556372605	55.2	589.28310482	0.0564623474	33.9	585.16640616	0.044250945	29	697.36849929	0.3085622174	46	738.478260869565	0.366915731479646
90.1	713.08932748	0.4267504925	55.8	801.63627315	0.4745926343	55.3	580.87919647	0.0420916411	31.7	607.3413273	0.0496390983	26.1	716.97740085	0.3284718494	27	829.592592592593	0.376697413648498
